AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2022,1,AVANTEL S.A.S,27,CHOCÓ,27450.0,MEDIO SAN JUAN,S,27450000.0,ANDAGOYA,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27099.0,BOJAYA,N,27099002.0,LA LOMA DE BOJAYÁ,N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27001.0,QUIBDÓ,N,27001016.0,GUAYABAL,N,N,N,N,N,N
2022,2,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27372.0,JURADÓ,S,27372000.0,JURADÓ,N,S,S,N,N,N
2022,2,AVANTEL S.A.S,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,S,27250000.0,SANTA GENOVEVA DE DOCORDÓ,S,S,S,N,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27450.0,MEDIO SAN JUAN,S,27450000.0,ANDAGOYA,N,N,N,S,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27745.0,SIPÍ,N,27745013.0,MARQUEZA,N,N,N,S,N,N
2023,1,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27073.0,BAGADÓ,N,27073004.0,ENGRIVADÓ,N,N,N,S,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,27250021.0,BURUJÓN,N,N,N,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27135.0,EL CANTÓN DEL SAN PABLO,S,27135000.0,MANAGRÚ,N,N,N,S,N,N
2022,3,AVANTEL S.A.S,27,CHOCÓ,27006.0,ACANDÍ,S,27006000.0,ACANDÍ,S,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27425.0,MEDIO ATRATO,S,27425000.0,BETÉ,S,S,S,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27025.0,ALTO BAUDÓ,S,27025000.0,PIE DE PATO,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27250.0,EL LITORAL DEL SAN JUAN,N,0.0,VENADO,N,N,N,N,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27077.0,BAJO BAUDÓ,S,27077000.0,PIZARRO,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27580.0,RÍO IRÓ,N,27580005.0,SAN JOSÉ DE VIRO VIRO,N,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27135.0,EL CANTÓN DEL SAN PABLO,N,27135003.0,PUERTO PERVEL,N,N,N,N,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27800.0,UNGUÍA,N,0.0,SIN CENTRO POBLADO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27361.0,ISTMINA,N,27361042.0,PAITO,S,N,N,N,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,27,CHOCÓ,27615.0,RIOSUCIO,N,27615046.0,LA PUNTA,N,N,N,S,N,N
