AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2023,1,COMUNICACION CELULAR S A COMCEL S A,50,META,50313.0,GRANADA,N,50313005.0,PUERTO CALDAS,S,S,S,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,8,ATLÁNTICO,8078.0,BARANOA,S,8078000.0,BARANOA,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73870.0,VILLAHERMOSA,S,73870000.0,VILLAHERMOSA,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5837.0,TURBO,N,5837008.0,RIOGRANDE,N,S,S,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76364.0,JAMUNDÍ,N,76364021.0,SAN ISIDRO,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52427.0,MAGÜI,S,52427000.0,PAYÁN,S,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73624.0,ROVIRA,N,73624007.0,GUADUALITO,S,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001.0,SINCELEJO,N,70001006.0,LA CHIVERA,S,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70230.0,CHALÁN,N,70230004.0,DESBARRANCADO,S,S,S,S,N,N
2021,1,AVANTEL S.A.S,52,NARIÑO,52699.0,SANTACRUZ,S,52699001.0,SANTACRUZ,N,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47318.0,GUAMAL,N,47318020.0,LA CEIBA,S,N,N,N,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15816.0,TOGÜÍ,S,15816000.0,TOGÜÍ,N,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19212.0,CORINTO,N,19212005.0,RIONEGRO,N,N,N,N,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25871.0,VILLAGÓMEZ,S,25871000.0,VILLAGÓMEZ,N,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52786.0,TAMINANGO,N,52786019.0,EL REMOLINO,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52405.0,LEIVA,N,52405006.0,PUERTO NUEVO,N,N,N,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70708.0,SAN MARCOS,S,70708000.0,SAN MARCOS,S,S,S,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68307.0,GIRÓN,S,68307000.0,GIRÓN,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13430.0,MAGANGUÉ,N,13430039.0,BOCA DE GUAMAL,N,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15667.0,SAN LUIS DE GACENO,N,15667006.0,LA FRONTERA (CORREDOR VIAL),S,S,S,S,N,N
2021,3,PARTNERS TELECOM COLOMBIA SAS,73,TOLIMA,73483.0,NATAGAIMA,S,73483000.0,NATAGAIMA,N,S,S,N,N,N
2021,2,PARTNERS TELECOM COLOMBIA SAS,20,CESAR,20032.0,ASTREA,S,20032000.0,ASTREA,N,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23182.0,CHINÚ,N,23182011.0,SANTA FE,S,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54001.0,SAN JOSÉ DE CÚCUTA,N,54001049.0,ORIPAYA,S,S,N,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70713.0,SAN ONOFRE,N,70713008.0,PALO ALTO,S,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5347.0,HELICONIA,S,5347000.0,HELICONIA,S,S,S,S,N,N
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,5,ANTIOQUIA,5134.0,CAMPAMENTO,S,5134000.0,CAMPAMENTO,N,N,N,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47258.0,EL PIÑON,S,47258000.0,EL PIÑÓN,S,S,S,S,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,19,CAUCA,19698.0,SANTANDER DE QUILICHAO,N,19698020.0,QUINAMAYO,S,S,S,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23672.0,SAN ANTERO,N,23672026.0,MIRIAM PARDO,S,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5306.0,GIRALDO,S,5306000.0,GIRALDO,S,S,N,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23580.0,PUERTO LIBERTADOR,S,23580000.0,PUERTO LIBERTADOR,S,S,S,N,N,N
2021,4,AVANTEL S.A.S,13,BOLÍVAR,13670.0,SAN PABLO,S,13670000.0,SAN PABLO,S,S,S,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76130.0,CANDELARIA,N,76130004.0,EL CARMELO,N,S,S,S,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,8,ATLÁNTICO,8832.0,TUBARÁ,N,8832013.0,NUEVA ESPERANZA,S,N,N,N,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70473.0,MORROA,N,70473004.0,LAS FLORES,S,N,N,N,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13160.0,CANTAGALLO,N,13160002.0,BRISAS DE BOLÍVAR,S,S,N,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68572.0,PUENTE NACIONAL,N,68572012.0,PEÑA BLANCA,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,54,NORTE DE SANTANDER,54743.0,SILOS,S,54743000.0,SILOS,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76001.0,CALI,N,76001024.0,CASCAJAL I,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47980.0,ZONA BANANERA,N,47980013.0,ESTACIÓN SEVILLA,S,S,S,N,S,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,66,RISARALDA,66440.0,MARSELLA,S,66440000.0,MARSELLA,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5576.0,PUEBLORRICO,S,5576000.0,PUEBLORRICO,N,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13430.0,MAGANGUÉ,N,13430002.0,BARRANCA DE YUCA,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13006.0,ACHÍ,S,13006000.0,ACHÍ,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25885.0,YACOPÍ,N,25885021.0,EL CASTILLO,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73026.0,ALVARADO,N,73026001.0,CALDAS VIEJO,S,N,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25740.0,SIBATÉ,N,25740011.0,SAN MIGUEL SECTOR SUR,S,S,S,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76233.0,DAGUA,N,76233012.0,EL SALADO,S,S,S,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,8,ATLÁNTICO,8573.0,PUERTO COLOMBIA,N,8573003.0,SABANILLA (MONTE CARMELO),S,S,S,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,5,ANTIOQUIA,5079.0,BARBOSA,S,5079000.0,BARBOSA,S,S,N,S,N,N
