AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2019,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76863.0,VERSALLES,N,76863017.0,LA PLAYA,N,N,N,N,N,N
2021,2,AVANTEL S.A.S,50,META,50711.0,VISTAHERMOSA,S,50711000.0,VISTAHERMOSA,S,S,S,N,N,N
2018,1,COLOMBIA MOVIL  S.A ESP,20,CESAR,20013.0,AGUSTÍN CODAZZI,N,20013002.0,CASACAZA,S,S,S,N,N,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54001.0,SAN JOSÉ DE CÚCUTA,N,54001042.0,LA FLORESTA,S,N,N,N,N,N
2016,3,ALMACENES EXITO INVERSIONES S.A.S.,25,CUNDINAMARCA,25245.0,EL COLEGIO,S,25245001.0,EL COLEGIO,S,S,S,N,N,N
2016,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23580.0,PUERTO LIBERTADOR,N,23580009.0,SANTA FÉ LAS CLARAS,N,N,N,N,N,N
2016,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,N,27810004.0,SAN PABLO ADENTRO,N,N,N,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5172.0,CHIGORODÓ,S,5172001.0,CHIGORODÓ,S,S,S,N,S,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25658.0,SAN FRANCISCO,S,25658000.0,SAN FRANCISCO,S,S,N,S,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23672.0,SAN ANTERO,N,0.0,CERROPETRONA,N,N,N,N,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,70,SUCRE,70702.0,SAN JUAN DE BETULIA,S,70702000.0,BETULIA,N,S,S,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66594.0,QUINCHÍA,N,66594006.0,NARANJAL,S,S,S,N,S,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23586.0,PURÍSIMA,N,23586003.0,LOS CORALES,S,N,N,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25823.0,TOPAIPÍ,N,25823002.0,EL NARANJAL,N,N,N,N,N,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23682.0,SAN JOSÉ DE URÉ,N,23682006.0,VERSALLES,N,N,N,N,N,N
2019,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23189.0,CIÉNAGA DE ORO,N,0.0,EL SIGLO,N,N,N,N,N,N
2017,1,COMUNICACION CELULAR S A COMCEL S A,91,AMAZONAS,91430.0,LA VICTORIA,N,91430000.0,PACOA,N,N,N,N,N,N
2019,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27615.0,RIOSUCIO,N,0.0,CAMPO ALEGRE,N,N,N,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47692.0,SAN SEBASTIÁN DE BUENAVISTA,N,0.0,JAIME,N,N,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15135.0,CAMPOHERMOSO,N,15135002.0,VISTAHERMOSA,N,N,N,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20295.0,GAMARRA,N,20295006.0,PUERTO VIEJO,S,N,N,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20178.0,CHIRIGUANÁ,N,20178015.0,ESTACIÓN CHIRIGUANÁ,S,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5001.0,MEDELLÍN,N,5001040.0,EL LLANO 2,N,N,N,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73411.0,LÍBANO,S,73411000.0,LÍBANO,S,S,S,S,N,N
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41359.0,ISNOS,S,41359001.0,ISNOS,S,S,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5631.0,SABANETA,N,5631001.0,MARÍA AUXILIADORA,S,S,S,N,N,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15109.0,BUENAVISTA,S,15109001.0,BUENAVISTA,S,S,S,N,S,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73678.0,SAN LUIS,S,73678001.0,SAN LUIS,S,S,N,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66594.0,QUINCHÍA,N,66594001.0,BATERO,N,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5055.0,ARGELIA,S,5055000.0,ARGELIA,S,S,S,S,N,N
2017,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23300.0,COTORRA,N,0.0,GUAYABAL,N,N,N,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,N,5873004.0,SAN ALEJANDRO,N,N,N,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54174.0,CHITAGÁ,N,54174005.0,LLANO GRANDE,S,S,S,N,N,N
2016,3,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25740.0,SIBATÉ,S,25740001.0,SIBATÉ,S,S,S,N,S,N
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,73,TOLIMA,73449.0,MELGAR,S,73449001.0,MELGAR,N,N,N,N,S,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25745.0,SIMIJACA,N,0.0,CENTRO SECTOR JUAN PACHO,N,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54001.0,SAN JOSÉ DE CÚCUTA,N,54001033.0,LA JARRA,S,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,41,HUILA,41483.0,NÁTAGA,S,41483000.0,NÁTAGA,S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5034.0,ANDES,S,5034000.0,ANDES,S,S,S,S,N,N
